Year,Nominal,Real
1961,20.25378463,103.8358229
1962,19.99955167,100.6542412
1963,20.90423467,107.170509
1964,21.88386089,110.6443371
1965,22.07728879,110.5587946
1966,22.27470981,107.5811116
1967,22.02804722,105.4628342
1968,20.9220342,101.0480368
1969,21.89441733,100.3709614
1970,23.22809812,100.1072678
1971,24.72389131,101.3163724
1972,26.43428536,99.3039117
1973,35.96557271,116.5011379
1974,51.69451341,137.4069873
1975,54.9143703,131.4296833
1976,47.58996505,112.5186247
1977,47.82213199,104.5982193
1978,52.94161964,99.64238717
1979,58.98157263,99.5141815
1980,64.98802247,99.6866075
1981,63.46537344,97.23993473
1982,55.80596662,88.12928811
1983,52.98489616,85.9535985
1984,55.36095218,91.82903263
1985,49.88060763,83.6105036
1986,48.7428573,71.03615
1987,50.29751306,66.89096339
1988,56.69774843,70.80685051
1989,59.61654463,74.9007679
1990,63.01351021,76.25821637
1991,62.06355422,75.80567598
1992,63.93455368,76.65813685
1993,61.94517929,71.7953373
1994,66.93925621,79.98591653
1995,76.62541121,83.40189447
1996,77.63501062,86.14210355
1997,70.60549868,82.21418829
1998,64.66038947,78.72875836
1999,55.16958296,68.48955637
2000,53.3263476,67.0598201
2001,54.96431187,71.81190156
2002,53.12229623,70.22518412
2003,57.79271139,72.62317956
2004,65.55358031,77.13608216
2005,67.37712874,76.8607791
2006,72.56315392,80.73157276
2007,94.25354894,98.81602387
2008,117.5106421,114.3284095
2009,91.66132204,95.06981658
2010,106.7438364,106.7962726
2011,131.8844162,118.8326579
2012,122.8408253,111.4973798
2013,120.1251693,109.5104251
2014,115.0286655,106.3170796
2015,93.04691271,95.12064396
2016,91.92442175,97.80635945
2017,98.02285937,100.8077976
2018,95.91668779,94.21303982
2019,95.10395559,95.64994523
2020,98.12727176,99.17764006
2021,125.7960428,125.1435038
2022,144.6568847,141.5347964
2023,124.73272,119.959392
2024,118.2612139,111.7431202
