year,iso,r_gdp,emp,hours,t_hours,pop,h_exp,DHI
2000,ABW,,,,,,,
2001,ABW,,,,,,,
2002,ABW,,,,,,,
2003,ABW,,,,,,,
2004,ABW,,,,,,,
2005,ABW,,,,,,,
2006,ABW,,,,,,,
2007,ABW,,,,,,,
2008,ABW,,,,,,,
2009,ABW,,,,,,,
2010,ABW,,,,,,,
2011,ABW,,,,,,,
2012,ABW,,,,,,,
2013,ABW,,,,,,,
2014,ABW,,,,,,,
2015,ABW,,,,,,,
2016,ABW,,,,,,,
2017,ABW,,,,,,,
2018,ABW,,,,,,,
2019,ABW,,,,,,,
2000,AFG,,,,,,,
2001,AFG,,,,,,,
2002,AFG,,,,,,15.803164,
2003,AFG,,,,,,17.035744,
2004,AFG,,,,,,20.412764,
2005,AFG,,,,,,23.890501,
2006,AFG,,,,,,27.836571,
2007,AFG,,,,,,31.271839,
2008,AFG,,,,,,38.102661,
2009,AFG,,,,,,41.722744,
2010,AFG,,,,,,44.990532,
2011,AFG,,,,,,50.853474,
2012,AFG,,,,,,51.440262,
2013,AFG,,,,,,55.03463,
2014,AFG,,,,,,59.008934,
2015,AFG,,,,,,58.906528,
2016,AFG,,,,,,60.188671,
2017,AFG,,,,,,65.706024,
2018,AFG,,,,,,69.998604,
2019,AFG,,,,,,65.80603,
1950,AGO,22.026978,2.7513046,,,4.1176171,,
1951,AGO,22.840719,2.7798059,,,4.1730952,,
1952,AGO,23.700233,2.8104181,,,4.2320948,,
1953,AGO,24.580091,2.8426054,,,4.2938399,,
1954,AGO,23.918926,2.8758206,,,4.3575268,,
1955,AGO,25.836306,2.9100962,,,4.423223,,
1956,AGO,25.353148,2.9454615,,,4.4909921,,
1957,AGO,27.774029,2.9822485,,,4.5613608,,
1958,AGO,29.248936,3.0214546,,,4.6358848,,
1959,AGO,29.38117,3.0631268,,,4.7146759,,
1960,AGO,30.571266,3.1069865,,,4.7973442,,
1961,AGO,33.744862,3.0658391,,,4.7524891,,
1962,AGO,32.773457,3.1009865,,,4.826015,,
1963,AGO,34.538258,3.1485887,,,4.9195862,,
1964,AGO,38.586624,3.2039294,,,5.0260439,,
1965,AGO,41.673759,3.2601988,,,5.1348181,,
1966,AGO,43.916634,3.2891383,,,5.2012501,,
1967,AGO,46.09848,3.3050089,,,5.2474689,,
1968,AGO,45.503429,3.3562086,,,5.3503842,,
1969,AGO,47.069885,3.4183433,,,5.4716411,,
1970,AGO,50.396053,3.4877801,,,5.6056261,,
1971,AGO,50.568974,3.5629396,,,5.7529569,,
1972,AGO,51.321686,3.6341243,,,5.8952122,,
1973,AGO,54.846207,3.6976795,,,6.0263629,,
1974,AGO,52.089657,3.656647,,,5.9874921,,
1975,AGO,32.112289,3.5774424,,,5.8854551,,
1976,AGO,28.831894,3.5956485,,,5.9434662,,
1977,AGO,29.493059,3.7112055,,,6.1637139,,
1978,AGO,30.703501,3.7675033,,,6.2871799,,
1979,AGO,31.451126,3.8480799,,,6.4525461,,
1980,AGO,32.971806,4.0019946,,,6.7430801,,
1981,AGO,32.310638,4.0616922,,,6.8795738,,
1982,AGO,30.769617,4.1219873,,,7.0185261,,
1983,AGO,29.757524,4.2299442,,,7.2405348,,
1984,AGO,29.910101,4.3248477,,,7.4424481,,
1985,AGO,30.062677,4.3840203,,,7.5847092,,
1986,AGO,27.356987,4.4547658,,,7.748632,,
1987,AGO,30.439034,4.5049634,,,7.878396,,
1988,AGO,34.802727,4.5630178,,,8.0233898,,
1989,AGO,35.392689,4.6119504,,,8.1538439,,
1990,AGO,36.628559,4.6669984,,,8.2966061,,
1991,AGO,41.054752,4.8106999,,,8.5872593,,
1992,AGO,45.736225,4.9664001,,,8.898838,,
1993,AGO,50.753033,5.1371002,,,9.2417002,,
1994,AGO,56.087685,5.3053999,,,9.6005983,,
1995,AGO,61.900612,5.4776001,,,9.9637451,,
1996,AGO,68.838432,5.6487999,,,10.312914,,
1997,AGO,73.845741,5.8330998,,,10.651402,,
1998,AGO,77.309845,6.0286002,,,10.990173,,
1999,AGO,78.995972,6.2343001,,,11.333739,,
