Country Name,Series Name,Time,Value
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1960,
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1961,
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1962,
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1963,
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1964,
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1965,
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1966,
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1967,
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1968,
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1969,
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1970,
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1971,
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1972,
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1973,
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1974,
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1975,
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1976,
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1977,
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1978,
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1979,
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1980,
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1981,
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1982,
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1983,
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1984,
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1985,
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1986,
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1987,
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1988,
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1989,
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1990,
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1991,
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1992,
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1993,
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1994,
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1995,
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1996,
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1997,
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1998,
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1999,
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2000,
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2001,
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2002,
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2003,
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2004,
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2005,
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2006,2
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2007,2
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2008,2.5
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2009,2.5
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2010,2.5
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2011,2.5
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2012,2.5
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2013,2.5
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2014,2.5
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2015,2.5
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2016,2.5
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2017,2.5
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2018,2.5
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2019,2.5
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2020,2.5
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2021,
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2022,2
Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2023,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1960,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1961,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1962,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1963,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1964,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1965,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1966,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1967,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1968,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1969,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1970,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1971,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1972,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1973,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1974,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1975,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1976,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1977,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1978,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1979,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1980,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1981,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1982,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1983,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1984,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1985,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1986,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1987,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1988,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1989,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1990,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1991,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1992,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1993,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1994,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1995,
