Time,price,stock,,,,,,,
01/01/2006,76.1,0.19,,,,,,,
01/02/2006,78.8,0.19,,,,,,,
01/03/2006,79.3,0.19,,,,,,,
01/04/2006,78.7,0.19,,,,,,,
01/05/2006,80.2,0.19,,,,,,,
01/06/2006,81.4,0.19,,,,,,,
01/07/2006,82,0.19,,,,,,,
01/08/2006,81.2,0.19,,,,,,,
01/09/2006,80.3,0.19,,,,,,,
01/10/2006,77.8,0.19,,,,,,,
01/11/2006,76.5,0.19,,,,,,,
01/12/2006,78.8,0.19,,,,,,,
01/01/2007,80.1,0.18,,,,,,,
01/02/2007,80.6,0.18,,,,,,,
01/03/2007,81.5,0.18,,,,,,,
01/04/2007,80.4,0.18,,,,,,,
01/05/2007,80.7,0.18,,,,,,,
01/06/2007,82.1,0.18,,,,,,,
01/07/2007,83,0.18,,,,,,,
01/08/2007,82.6,0.18,,,,,,,
01/09/2007,82,0.18,,,,,,,
01/10/2007,82.6,0.18,,,,,,,
01/11/2007,85.8,0.18,,,,,,,
01/12/2007,90.5,0.18,,,,,,,
01/01/2008,93.8,0.19,,,,,,,
01/02/2008,116.1,0.19,,,,,,,
01/03/2008,148.4,0.19,,,,,,,
01/04/2008,227.6,0.19,,,,,,,
01/05/2008,226.3,0.19,,,,,,,
01/06/2008,189.9,0.19,,,,,,,
01/07/2008,186.6,0.19,,,,,,,
01/08/2008,176.8,0.19,,,,,,,
01/09/2008,174.4,0.19,,,,,,,
01/10/2008,158.7,0.19,,,,,,,
01/11/2008,143.8,0.19,,,,,,,
01/12/2008,138.5,0.19,,,,,,,
01/01/2009,154.2,0.22,,,,,,,
01/02/2009,157,0.22,,,,,,,
01/03/2009,156.4,0.22,,,,,,,
01/04/2009,146.7,0.22,,,,,,,
01/05/2009,142.2,0.22,,,,,,,
01/06/2009,153.3,0.22,,,,,,,
01/07/2009,152.4,0.22,,,,,,,
01/08/2009,140.2,0.22,,,,,,,
01/09/2009,138.2,0.22,,,,,,,
01/10/2009,131.1,0.22,,,,,,,
01/11/2009,144.3,0.22,,,,,,,
01/12/2009,157.1,0.22,,,,,,,
01/01/2010,149.8,0.22,,,,,,,
01/02/2010,140.9,0.22,,,,,,,
01/03/2010,132.2,0.22,,,,,,,
01/04/2010,121.4,0.22,,,,,,,
01/05/2010,117.6,0.22,,,,,,,
01/06/2010,114.6,0.22,,,,,,,
01/07/2010,114.4,0.22,,,,,,,
01/08/2010,117.2,0.22,,,,,,,
01/09/2010,123.4,0.22,,,,,,,
01/10/2010,125.8,0.22,,,,,,,
01/11/2010,133.2,0.22,,,,,,,
01/12/2010,137.7,0.22,,,,,,,
01/01/2011,133.5,0.23,,,,,,,
01/02/2011,135.4,0.23,,,,,,,
01/03/2011,127.3,0.23,,,,,,,
01/04/2011,124.9,0.23,,,,,,,
01/05/2011,124.2,0.23,,,,,,,
01/06/2011,132.6,0.23,,,,,,,
01/07/2011,138.4,0.23,,,,,,,
01/08/2011,145.5,0.23,,,,,,,
01/09/2011,153.9,0.23,,,,,,,
01/10/2011,153.9,0.23,,,,,,,
01/11/2011,158,0.23,,,,,,,
01/12/2011,150.4,0.23,,,,,,,
01/01/2012,137.9,0.25,,,,,,,
01/02/2012,136.7,0.25,,,,,,,
01/03/2012,139.4,0.25,,,,,,,
01/04/2012,139.7,0.25,,,,,,,
01/05/2012,153.1,0.25,,,,,,,
01/06/2012,153,0.25,,,,,,,
01/07/2012,144.8,0.25,,,,,,,
01/08/2012,143.3,0.25,,,,,,,
01/09/2012,142.1,0.25,,,,,,,
01/10/2012,141,0.25,,,,,,,
01/11/2012,141.3,0.25,,,,,,,
01/12/2012,140.9,0.25,,,,,,,
01/01/2013,142.2,0.27,,,,,,,
01/02/2013,141.9,0.27,,,,,,,
01/03/2013,140.9,0.27,,,,,,,
01/04/2013,139.4,0.27,,,,,,,
01/05/2013,136.1,0.27,,,,,,,
01/06/2013,131.2,0.27,,,,,,,
01/07/2013,126.3,0.27,,,,,,,
01/08/2013,118.8,0.27,,,,,,,
01/09/2013,110.1,0.27,,,,,,,
01/10/2013,108.2,0.27,,,,,,,
01/11/2013,107.9,0.27,,,,,,,
01/12/2013,111.1,0.27,,,,,,,
01/01/2014,110,0.27,,,,,,,
01/02/2014,112.2,0.27,,,,,,,
01/03/2014,103.2,0.27,,,,,,,
01/04/2014,95.7,0.27,,,,,,,
01/05/2014,94,0.27,,,,,,,
01/06/2014,96.2,0.27,,,,,,,
01/07/2014,101.5,0.27,,,,,,,
01/08/2014,107,0.27,,,,,,,
01/09/2014,103.9,0.27,,,,,,,
01/10/2014,102.2,0.27,,,,,,,
01/11/2014,99.8,0.27,,,,,,,
01/12/2014,99.8,0.27,,,,,,,
01/01/2015,100,0.29,,,,,,,
01/02/2015,100,0.29,,,,,,,
01/03/2015,97.6,0.29,,,,,,,
01/04/2015,94.4,0.29,,,,,,,
01/05/2015,90.1,0.29,,,,,,,
01/06/2015,88.9,0.29,,,,,,,
01/07/2015,92.4,0.29,,,,,,,
01/08/2015,87.9,0.29,,,,,,,
01/09/2015,84.2,0.29,,,,,,,
01/10/2015,87.4,0.29,,,,,,,
01/11/2015,86.2,0.29,,,,,,,
01/12/2015,85,0.29,,,,,,,
01/01/2016,86.2,0.3,,,,,,,
01/02/2016,89.7,0.3,,,,,,,
01/03/2016,89.7,0.3,,,,,,,
01/04/2016,91.8,0.3,,,,,,,
01/05/2016,100.6,0.3,,,,,,,
01/06/2016,102.4,0.3,,,,,,,
01/07/2016,102.2,0.3,,,,,,,
01/08/2016,96,0.3,,,,,,,
01/09/2016,88.8,0.3,,,,,,,
01/10/2016,84.8,0.3,,,,,,,
01/11/2016,83.9,0.3,,,,,,,
01/12/2016,85.7,0.3,,,,,,,
01/01/2017,85.9,0.32,,,,,,,
01/02/2017,83.7,0.32,,,,,,,
01/03/2017,84.3,0.32,,,,,,,
01/04/2017,86.1,0.32,,,,,,,
01/05/2017,95.4,0.32,,,,,,,
01/06/2017,103.7,0.32,,,,,,,
01/07/2017,93.9,0.32,,,,,,,
01/08/2017,88.5,0.32,,,,,,,
01/09/2017,90.5,0.32,,,,,,,
01/10/2017,88.1,0.32,,,,,,,
01/11/2017,89.9,0.32,,,,,,,
01/12/2017,90.7,0.32,,,,,,,
01/01/2018,98.7,0.34,,,,,,,
01/02/2018,94.9,0.34,,,,,,,
01/03/2018,96,0.34,,,,,,,
01/04/2018,100.6,0.34,,,,,,,
01/05/2018,100.6,0.34,,,,,,,
01/06/2018,95.2,0.34,,,,,,,
01/07/2018,88.4,0.34,,,,,,,
01/08/2018,90,0.34,,,,,,,
01/09/2018,90,0.34,,,,,,,
01/10/2018,90.8,0.34,,,,,,,
01/11/2018,89,0.34,,,,,,,
01/12/2018,89.7,0.34,,,,,,,
01/01/2019,90.4,0.36,,,,,,,
01/02/2019,89.9,0.36,,,,,,,
01/03/2019,89.5,0.36,,,,,,,
01/04/2019,90.7,0.36,,,,,,,
01/05/2019,89.9,0.36,,,,,,,
01/06/2019,92.3,0.36,,,,,,,
01/07/2019,90.8,0.36,,,,,,,
01/08/2019,93.8,0.36,,,,,,,
01/09/2019,93.2,0.36,,,,,,,
01/10/2019,92.5,0.36,,,,,,,
01/11/2019,91.9,0.36,,,,,,,
01/12/2019,94.3,0.36,,,,,,,
01/01/2020,101.1,0.36,,,,,,,
01/02/2020,100.9,0.36,,,,,,,
01/03/2020,110.8,0.36,,,,,,,
01/04/2020,158.8,0.36,,,,,,,
01/05/2020,143.6,0.36,,,,,,,
01/06/2020,146.4,0.36,,,,,,,
01/07/2020,115.7,0.36,,,,,,,
01/08/2020,121.7,0.36,,,,,,,
01/09/2020,122.2,0.36,,,,,,,
01/10/2020,112,0.36,,,,,,,
01/11/2020,116.3,0.36,,,,,,,
01/12/2020,123.7,0.36,,,,,,,
01/01/2021,130.9,0.35,,,,,,,
01/02/2021,133.8,0.35,,,,,,,
01/03/2021,126.1,0.35,,,,,,,
01/04/2021,110.8,0.35,,,,,,,
01/05/2021,110.3,0.35,,,,,,,
01/06/2021,104.3,0.35,,,,,,,
01/07/2021,91.1,0.35,,,,,,,
01/08/2021,88.7,0.35,,,,,,,
01/09/2021,88.1,0.35,,,,,,,
01/10/2021,86.9,0.35,,,,,,,
01/11/2021,86.7,0.35,,,,,,,
01/12/2021,86.7,0.35,,,,,,,
01/01/2022,92.1,0.37,,,,,,,
01/02/2022,92.1,0.37,,,,,,,
01/03/2022,91,0.37,,,,,,,
01/04/2022,92.8,0.37,,,,,,,
01/05/2022,99.9,0.37,,,,,,,
01/06/2022,95.6,0.37,,,,,,,
01/07/2022,90.1,0.37,,,,,,,
01/08/2022,92.9,0.37,,,,,,,
01/09/2022,94.6,0.37,,,,,,,
01/10/2022,92.8,0.37,,,,,,,
01/11/2022,94.8,0.37,,,,,,,
01/12/2022,100.6,0.37,,,,,,,
01/01/2023,110.9,0.37,,,,,,,
01/02/2023,105.6,0.37,,,,,,,
01/03/2023,102.1,0.37,,,,,,,
01/04/2023,107.4,0.37,,,,,,,
01/05/2023,109.3,0.37,,,,,,,
01/06/2023,110.2,0.37,,,,,,,
01/07/2023,117.2,0.37,,,,,,,
01/08/2023,136.1,0.37,,,,,,,
01/09/2023,132.9,0.37,,,,,,,
